Fecha;Linea;Mensaje;Duración
"23.11.2020 11:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:50:01
"22.11.2020 13:02:03";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:55:59
"22.11.2020 11:02:01";E;"Inicia servicio a las 10hs por obras de mejora.";01:58:01
"22.11.2020 11:00:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:58:00
"22.11.2020 11:00:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:58:00
"22.11.2020 11:00:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:58:00
"22.11.2020 11:00:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:58:00
"22.11.2020 11:00:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:58:00
"21.11.2020 12:58:03";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:57:59
"21.11.2020 12:54:02";E;"Ya circula con su frecuencia habitual";00:02:00
"21.11.2020 10:50:02";E;"Servicio con demora";02:02:00
"21.11.2020 09:02:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";25:54:00
"21.11.2020 09:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";25:54:00
"21.11.2020 09:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";25:54:00
"21.11.2020 09:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";25:54:00
"21.11.2020 09:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";01:46:00
"21.11.2020 09:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";25:54:00
"20.11.2020 12:12:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";20:46:00
"20.11.2020 11:52:02";C;"Servicio con demora debido a una causa técnica.";00:18:00
"20.11.2020 11:50:02";C;"Servicio limitado entre las estaciones Diagonal Norte y Constitución";00:00:00
"20.11.2020 09:02:03";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:55:59
"20.11.2020 09:02:03";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:55:59
"20.11.2020 09:02:03";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";02:45:59
"20.11.2020 09:02:03";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:55:59
"20.11.2020 09:02:03";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:55:59
"20.11.2020 09:02:03";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:55:59
"19.11.2020 11:18:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:36:00
"19.11.2020 11:12:03";E;"Ya realiza recorrido completo entre cabeceras.";00:04:00
"19.11.2020 11:06:02";E;"Servicio limitado entre las estaciones Correo Central y Plaza de los Virreyes";00:04:00
"19.11.2020 10:18:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";00:46:00
"19.11.2020 10:12:02";E;"Ya realiza recorrido completo entre cabeceras.";00:04:00
"19.11.2020 09:08:03";E;"Servicio limitado entre las estaciones Bolívar y Plaza de los Virreyes";01:01:59
"19.11.2020 09:02:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"19.11.2020 09:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"19.11.2020 09:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"19.11.2020 09:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"19.11.2020 09:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";00:04:00
"19.11.2020 09:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"18.11.2020 09:04:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:48:01
"18.11.2020 09:04:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:48:01
"18.11.2020 09:04:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:48:01
"18.11.2020 09:04:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:48:01
"18.11.2020 09:04:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:48:01
"18.11.2020 09:04:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:48:01
"17.11.2020 09:04:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:00
"17.11.2020 09:04:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:00
"17.11.2020 09:04:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:00
"17.11.2020 09:04:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:00
"17.11.2020 09:04:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:00
"17.11.2020 09:04:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:00
"17.11.2020 01:32:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";07:24:00
"16.11.2020 21:32:02";B;"Los trenes no se detienen en la estación Medrano con destino a Juan Manuel de Rosas";03:58:00
"16.11.2020 17:22:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";15:34:00
"16.11.2020 17:20:02";E;"Ya realiza recorrido completo entre cabeceras.";00:00:00
"16.11.2020 16:44:01";E;"Servicio limitado entre las estaciones Retiro y Avenida La Plata";00:34:02
"16.11.2020 14:16:03";U;"Ya circula con su frecuencia habitual.";00:01:59
"16.11.2020 13:24:02";U;"Servicio con demora.";00:50:00
"16.11.2020 13:18:01";U;"Ya realiza su recorrido completo entre cabeceras";00:04:00
"16.11.2020 12:40:02";U;"Servicio limitado entre F. Lacroze - Lynch Lynch y Gral. Lemos - Martín Coronado";00:36:01
"16.11.2020 09:02:01";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:01
"16.11.2020 09:02:01";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";12:28:01
"16.11.2020 09:02:01";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:01
"16.11.2020 09:02:01";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:01
"16.11.2020 09:02:01";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";07:40:01
"16.11.2020 09:02:01";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:01
"15.11.2020 22:14:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";10:40:00
"15.11.2020 22:12:02";D;"Ya realiza recorrido completo entre cabeceras.";00:00:00
"15.11.2020 21:58:01";D;"Servicio limitado entre las estaciones Congreso de Tucumán y Pueyrredón";00:12:02
"15.11.2020 13:02:01";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";19:52:01
"15.11.2020 11:02:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:52:00
"15.11.2020 11:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:52:00
"15.11.2020 11:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:52:00
"15.11.2020 11:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";10:54:01
"15.11.2020 11:02:02";E;"Inicia servicio a las 10hs por obras de mejora.";01:58:00
"15.11.2020 11:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:52:00
"14.11.2020 22:10:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";12:48:00
"14.11.2020 22:08:03";E;"Ya realiza recorrido completo entre cabeceras.";00:00:00
"14.11.2020 21:42:02";E;"Servicio limitado Viirreyes - Av. La Plata y Bolívar - Retiro";00:24:01
"13.11.2020 09:02:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";49:56:00
"13.11.2020 09:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";49:56:00
"13.11.2020 09:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";49:56:00
"13.11.2020 09:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";49:56:00
"13.11.2020 09:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";36:38:00
"13.11.2020 09:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";49:56:00
"12.11.2020 09:00:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"12.11.2020 09:00:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"12.11.2020 09:00:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"12.11.2020 09:00:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"12.11.2020 09:00:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"12.11.2020 09:00:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"11.11.2020 09:02:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"11.11.2020 09:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"11.11.2020 09:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"11.11.2020 09:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"11.11.2020 09:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"11.11.2020 09:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"10.11.2020 19:32:03";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";13:19:59
"10.11.2020 19:28:02";H;"Ya realiza recorrido completo entre cabeceras.";00:02:01
"10.11.2020 19:10:02";H;"Servicio limitado entre las estaciones Facultad de Derecho y Caseros";00:16:01
"10.11.2020 09:02:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"10.11.2020 09:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"10.11.2020 09:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"10.11.2020 09:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"10.11.2020 09:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"10.11.2020 09:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";10:06:00
"09.11.2020 09:04:03";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:45:59
"09.11.2020 09:04:03";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:45:59
"09.11.2020 09:04:03";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:45:59
"09.11.2020 09:04:03";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:45:59
"09.11.2020 09:04:03";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:45:59
"09.11.2020 09:04:03";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:45:59
"08.11.2020 13:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";19:54:00
"08.11.2020 11:02:01";E;"Inicia servicio a las 10hs por obras de mejora.";01:58:01
"07.11.2020 09:00:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";47:56:00
"07.11.2020 09:00:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";47:56:00
"07.11.2020 09:00:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";47:56:00
"07.11.2020 09:00:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";47:56:00
"07.11.2020 09:00:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";25:58:00
"07.11.2020 09:00:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";47:56:00
"06.11.2020 09:02:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:00
"06.11.2020 09:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:00
"06.11.2020 09:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:00
"06.11.2020 09:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:00
"06.11.2020 09:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:00
"06.11.2020 09:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:54:00
"05.11.2020 09:18:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:34:00
"05.11.2020 09:18:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:34:00
"05.11.2020 09:18:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:34:00
"05.11.2020 09:18:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:34:00
"05.11.2020 09:18:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:34:00
"05.11.2020 09:18:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:34:00
"04.11.2020 20:40:03";P;"Ya circula con su frecuencia habitual";00:02:01
"04.11.2020 20:38:02";P;"Servicio con demora por rozamiento de vehículo.";00:00:00
"04.11.2020 16:56:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";16:16:00
"04.11.2020 16:50:02";A;"Ya realiza recorrido completo entre cabeceras.";00:04:00
"04.11.2020 16:46:02";A;"Servicio Limitado entre las estaciones Acoyte y Perú";00:02:00
"04.11.2020 16:42:02";A;"Servicio con demora debido a una causa técnica.";00:02:00
"04.11.2020 09:10:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";07:30:00
"04.11.2020 09:10:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";24:02:00
"04.11.2020 09:10:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";24:02:00
"04.11.2020 09:10:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";24:02:00
"04.11.2020 09:10:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";24:02:00
"04.11.2020 09:10:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";24:02:00
"03.11.2020 09:08:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:48:00
"03.11.2020 09:08:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:48:00
"03.11.2020 09:08:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:48:00
"03.11.2020 09:08:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:48:00
"03.11.2020 09:06:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"03.11.2020 09:06:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:50:00
"02.11.2020 09:04:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:56:00
"02.11.2020 09:02:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:58:00
"02.11.2020 09:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:58:00
"02.11.2020 09:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:58:00
"02.11.2020 09:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:58:00
"02.11.2020 09:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:58:00
"01.11.2020 17:52:02";U;"Ya realiza su recorrido completo entre cabeceras";00:03:59
"01.11.2020 17:06:02";U;"Servicio limitado entre las estaciones Gral. Lemos y Fco. Lynch";00:44:00
"01.11.2020 13:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";19:54:00
"01.11.2020 11:00:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:54:00
"01.11.2020 11:00:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:54:00
"01.11.2020 11:00:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:54:00
"01.11.2020 11:00:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:54:00
"01.11.2020 11:00:02";E;"Inicia servicio a las 10hs por obras de mejora.";02:00:00
"01.11.2020 11:00:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:54:00
"31.10.2020 20:54:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";14:02:00
"31.10.2020 20:52:02";E;"Ya realiza recorrido completo entre cabeceras.";00:00:00
"31.10.2020 20:44:02";E;"Servicio limitado entre las estaciones Correo Central y Plaza de los Virreyes";00:06:00
"31.10.2020 09:02:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";25:54:00
"31.10.2020 09:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";25:54:00
"31.10.2020 09:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";25:54:00
"31.10.2020 09:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";25:54:00
"31.10.2020 09:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";11:40:00
"31.10.2020 09:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";25:54:00
"30.10.2020 16:12:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";16:46:00
"30.10.2020 16:10:01";H;"Ya realiza recorrido completo entre cabeceras.";00:00:00
"30.10.2020 15:48:02";H;"Servicio limitado entre las estaciones Facultad de Derecho y Corrientes";00:20:01
"30.10.2020 09:06:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"30.10.2020 09:06:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"30.10.2020 09:06:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"30.10.2020 09:06:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"30.10.2020 09:06:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"30.10.2020 09:06:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";06:40:00
"29.10.2020 15:48:03";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";17:09:59
"29.10.2020 15:46:03";C;"Ya realiza recorrido completo entre cabeceras.";00:00:00
"29.10.2020 14:44:03";C;"Servicio limitado entre las estaciones Diagonal Norte y Constitución";00:59:58
"29.10.2020 11:42:03";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:15:59
"29.10.2020 11:20:03";E;"Normaliza su servicio";00:19:59
"29.10.2020 09:36:03";E;"Servicio con demora";01:42:00
"29.10.2020 09:06:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"29.10.2020 09:06:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"29.10.2020 09:06:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";05:36:00
"29.10.2020 09:06:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"29.10.2020 09:06:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";00:28:00
"29.10.2020 09:06:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:52:00
"28.10.2020 11:42:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:18:00
"28.10.2020 11:30:03";E;"Normaliza su servicio";00:09:59
"28.10.2020 10:40:02";E;"Servicio con demora";00:48:00
"28.10.2020 09:06:03";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:53:59
"28.10.2020 09:06:03";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:53:59
"28.10.2020 09:06:03";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:53:59
"28.10.2020 09:06:03";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";01:31:58
